sum_elem_nutr_score,sum_mid_nutr_score,sum_elem_ne_scores,sum_mid_ne_scores,sum_elem_pa_scores,sum_mid_pa_scores,total_elem_wp,total_mid_wp,three_mean_edfa_ela,three_mean_edfa_math,four_mean_edfa_ela,four_mean_edfa_math,five_mean_edfa_ela,five_mean_edfa_math,six_mean_edfa_ela,six_mean_edfa_math,seven_mean_edfa_ela,seven_mean_edfa_math,eight_mean_edfa_ela,eight_mean_edfa_math
23,33,40,40,26,29,89,102,-0.45733675,-0.7103349,0.17829835,0.063560739,0.50898862,1.0453731,0.23145124,0.69222564,0.14732763,0.59277731,-0.059957743,0.31176269
30,23,21,18,27,27,78,68,0.30503631,0.10757802,0.36298525,0.29777622,0.39603618,0.24906488,0.28017691,0.52048612,-0.1291616,-0.472296,-0.05156577,-0.24170709
21,33,34,27,25,21,80,81,0.389184,0.39411217,0.23580024,0.1413426,0.51912504,0.50227219,0.13833904,0.33268154,0.30371153,0.54358828,0.21147549,0.25973052
30,25,28,24,27,19,85,68,0.43625364,0.43641183,0.23341325,0.087309174,0.26764753,0.6184181,0.32939425,0.18719688,0.19265154,0.059849881,0.50215936,0.21013652
19,24,35,33,26,22,80,79,0.49071649,0.1717494,,,0.71081984,0.95413053,,,,,1.0587748,0.6861217
39,47,38,31,27,29,104,107,-0.31132621,-0.39701664,-0.34029701,-0.50004625,-0.15697125,-0.36966938,-0.27648818,-0.39401862,-0.46009192,-0.54037201,-0.21364954,-0.42721322
21,27,30,24,37,21,88,72,-0.16877472,-0.045522925,-0.1252078,-0.29526559,-0.1758443,-0.36677,-0.23405778,-0.31654221,-0.25453734,-0.072848938,-0.23775262,-0.20895751
24,26,22,20,30,23,76,69,-0.27512383,-0.45454997,-0.46454486,-0.17867343,-0.3439348,-0.35308746,-0.50551677,-0.70163488,-0.4910742,-0.54815733,-0.24899791,-0.48652235
34,35,39,39,30,21,103,95,-0.028705001,-0.077014424,0.11073223,-0.023229409,0.16825302,0.42228395,-0.081684925,0.0591066,0.080005437,0.19473526,0.004537318,0.13423361
32,32,46,43,42,36,120,111,0.38544846,0.46218005,0.14135061,0.13118683,-0.070743442,-0.23924692,0.19880554,0.11911971,0.20161819,0.30268979,0.074794546,0.10727823
20,21,11,11,17,19,48,51,0.063617647,0.16092032,0.15916486,-0.38797599,-0.18089521,-0.10816944,0.24802683,-0.22820404,0.17746586,0.30686638,0.25653294,0.42903444
14,13,36,36,30,26,80,75,,,,,,,-0.40390164,0.16476837,-0.21306671,0.3748441,0.013348633,0.5086543
20,20,38,33,33,25,91,78,,,-0.46830177,-0.75320792,,,,,,,,
38,39,53,51,45,35,136,125,,,,,,,,,0.22920398,-0.29835913,-0.060422935,-0.49535474
30,35,19,15,20,17,69,67,0.097909905,-0.037880033,0.017894151,-0.041747253,0.002289912,-0.005660857,-0.048287943,0.069715209,-0.21577574,-0.047628239,-0.004824936,0.079246089
17,30,18,17,18,20,53,67,0.28338256,0.16084372,0.33263353,0.13115104,0.37293345,0.26463273,0.35508701,0.1483705,0.4645167,0.33583283,0.41277784,0.27991977
33,41,44,42,41,34,118,117,,,0.046073209,0.086552024,,,,,,,0.6825946,0.80127555
39,37,37,30,39,29,115,96,-0.28198636,-0.18960345,-0.33790544,-0.17130075,-0.39456749,-0.21345973,-0.22889319,-0.041868307,-0.40377998,-0.55207562,-0.59504271,-0.62454528
13,13,33,39,41,33,87,85,-0.4312157,-0.31464154,-0.16809593,-0.54692966,-0.090762123,-0.10055818,0.003559762,0.097960606,-0.22813158,-0.22634457,0.010120543,-0.3758963
24,32,27,23,27,23,78,78,-0.091651998,-0.16251047,-0.17322239,-0.011346158,0.045866482,-0.17342347,-0.000917459,0.099860549,-0.28363383,-0.13786027,-0.12174564,0.062556341
17,17,18,18,31,25,66,60,0.3645978,0.5074423,0.34161374,0.66673678,0.13813655,0.94155115,0.19752373,0.44409901,0.29320604,0.26788548,0.25568613,0.42080584
