total_elem_nutr,total_mid_nutr,total_elem_ne,total_mid_ne,total_elem_pa,total_mid_pa,three_ela_change,three_math_change,four_ela_change,four_math_change,five_ela_change,five_math_change,six_ela_change,six_math_change,seven_ela_change,seven_math_change,eight_ela_change,eight_math_change
21,33,34,27,25,21,0.03652867,-0.2559108,0.33920595,0.137332,-0.34026262,-0.24960792,0.1397467,-0.275526613,-0.18395518,-0.25998339,-0.06811099,-0.00764573
30,25,28,24,27,19,-0.27766696,-0.395204446,0.18511233,0.349785936,-0.04188638,-0.70332622,-0.07748589,0.0160715,0.03377603,0.043555449,-0.07256508,-0.232088782
19,24,35,33,26,22,0.14439472,0.31047492,0.065547332,-0.3165043,-0.71081984,-0.95413053,0.59582955,0.39225921,,,-0.51026067,0.05209899
39,47,38,31,27,29,-0.14092928,-0.48231727,-0.05736217,-0.05191332,-0.141947,0.02312464,-0.01623416,0.05776826,0.12163091,0.04178831,-0.17436165,-0.1615279
21,27,30,24,37,21,0.03568977,-0.009553194,0.25071259,0.1146781,0.099504027,0.25584968,0.259110173,0.348966191,0.02032432,0.013738662,0.153334547,0.166251076
24,26,22,20,30,23,0.14024433,0.16036493,0.33248226,0.35240495,0.10375557,-0.04975232,0.19201988,0.2682268,0.516784824,0.35004147,0.194324577,0.28801526
34,35,39,39,30,21,-0.290603759,-0.509044076,0.0540646,0.026081231,-0.212786787,-0.22458087,0.340691095,0.0824247,-0.078455698,0.02297477,0.204783232,-0.054845938
32,32,46,43,42,36,-0.23326686,-0.57291194,0.04822029,0.03835328,0.085359346,0.191513092,-0.02066144,-0.069851535,-0.092097,-0.356529429,0.295638394,-0.32769451
20,21,11,11,17,19,0.202133443,0.07630249,-0.128950476,0.53601432,0.36815316,-0.20213812,-0.334647206,0.09079167,0.01192568,-0.10136271,-0.212479508,-0.20543806
14,13,36,36,30,26,,,,,,,0.40390164,-0.16476837,-0.07797249,-0.04371839,-0.342121473,-0.3550306
38,39,53,51,45,35,-0.26927269,-0.34518331,,,,,,,-0.293090444,-0.09234747,0.123024688,0.25855021
30,35,19,15,20,17,-0.094994986,-0.078800367,-0.008927611,0.046337296,0.053755508,0.165836627,0.070061151,0.050116321,-0.15393262,-0.266971571,-0.244142144,-0.279541759
33,41,44,42,41,34,,,-0.046073209,-0.086552024,-0.17362079,0.29253581,,,,,-0.6825946,-0.80127555
39,37,37,30,39,29,0.188510273,0.186978824,0.1459101,-0.03087496,-0.14374548,-0.23331407,0.02899475,-0.009498134,-0.00137753,0.20433056,0.25289298,0.14135158
13,13,33,39,41,33,0.4312157,0.31464154,0.24666532,0.6561466,-0.053186457,0.010832835,0.347483138,0.025991004,0.4225009,0.253188204,0.021654943,0.437227028
24,32,27,23,27,23,-0.236473802,-0.29299833,0.07183939,-0.389372322,-0.226861802,0.05024083,-0.099840621,-0.243863599,0.295315886,0.108012646,-0.08900159,-0.457068341
17,17,18,18,31,25,0.02353802,-0.17386398,-0.16771838,-0.26884237,-0.105169802,-0.44995281,-0.04740581,0.02035886,-0.223801885,0.03971082,0.1559307,0.1283733
18,32,26,27,26,25,-0.31909266,-0.20244,0.13900856,-0.504921636,-0.131614682,-0.206502198,0.071096477,0.16740868,-0.104601335,-0.04629338,-0.00998012,-0.198295153
22,37,15,15,36,33,-0.133225805,-0.101661872,-0.073498638,-0.06623922,-0.23983172,-0.289265972,0.00814021,-0.490169224,-0.37684738,-0.304050246,-0.145059176,-0.29320191
29,41,38,37,35,23,-0.18704192,-0.191012015,0.212537664,0.015596,0.30643999,0.23338833,0.093152177,0.15229684,-0.12153353,-0.36906949,0.08986902,0.08250088
25,30,35,35,31,23,0.27045101,-0.2267257,-0.15345079,0.25037807,-0.00572835,-0.49237848,0.23462843,0.052634891,0.0133912,0.153560205,-0.23731923,-0.329870436
